,open,close,high,low,volume,date
1133,16888.3,16650.6,17007.4,16358.0,537241.645,2022-11-16
1134,16650.7,16682.1,16741.7,16403.3,408989.285,2022-11-17
1135,16682.1,16689.7,16984.4,16541.1,388612.842,2022-11-18
1136,16689.7,16692.9,16814.5,16543.8,171822.915,2022-11-19
1137,16693.0,16272.6,16743.9,16167.1,327599.214,2022-11-20
1138,16272.7,15773.0,16304.3,15443.2,790219.365,2022-11-21
1139,15772.9,16220.6,16309.0,15610.3,579333.644,2022-11-22
1140,16220.5,16595.8,16703.4,16155.5,546714.910,2022-11-23
1141,16595.8,16592.4,16800.0,16450.0,351024.418,2022-11-24
1142,16592.5,16516.1,16639.9,16331.7,306560.116,2022-11-25
1143,16516.2,16449.2,16699.1,16369.1,253401.659,2022-11-26
1144,16449.2,16422.6,16594.2,16396.0,189370.345,2022-11-27
1145,16422.5,16204.5,16475.0,15984.1,497137.869,2022-11-28
1146,16204.6,16433.2,16543.0,16088.0,391410.854,2022-11-29
1147,16433.3,17153.3,17248.3,16421.5,620324.950,2022-11-30
1148,17153.4,16970.5,17348.5,16851.2,411051.309,2022-12-01
1149,16970.5,17083.0,17096.3,16760.0,335039.215,2022-12-02
1150,17083.0,16879.5,17160.0,16850.1,185257.242,2022-12-03
1151,16879.5,17099.5,17206.2,16874.1,292090.868,2022-12-04
1152,17099.5,16958.3,17430.0,16860.6,519961.390,2022-12-05
1153,16958.2,17078.6,17100.0,16899.9,321330.613,2022-12-06
1154,17078.7,16828.0,17130.0,16655.0,337778.925,2022-12-07
1155,16828.0,17216.0,17294.9,16710.4,402157.335,2022-12-08
1156,17216.0,17122.0,17365.4,17052.0,290231.183,2022-12-09
1157,17122.0,17120.0,17228.6,17081.0,141895.207,2022-12-10
1158,17120.1,17077.3,17265.0,17060.0,171004.111,2022-12-11
1159,17077.3,17200.0,17237.9,16865.0,335856.258,2022-12-12
1160,17200.0,17777.1,18100.0,17076.0,596851.291,2022-12-13
1161,17777.1,17803.9,18400.0,17659.4,627511.699,2022-12-14
1162,17804.0,17351.8,17849.5,17258.0,437284.037,2022-12-15
1163,17351.9,16624.1,17528.0,16521.1,622150.245,2022-12-16
1164,16624.1,16768.0,16790.0,16571.8,248465.273,2022-12-17
1165,16768.1,16730.3,16872.0,16656.0,185898.213,2022-12-18
1166,16730.4,16429.2,16809.6,16210.0,344728.552,2022-12-19
1167,16429.2,16887.2,17049.6,16390.3,476171.098,2022-12-20
1168,16887.3,16819.6,16924.2,16694.2,227752.335,2022-12-21
1169,16819.7,16815.5,16861.9,16556.1,306610.961,2022-12-22
1170,16815.5,16776.4,16960.0,16690.0,264553.420,2022-12-23
1171,16776.3,16828.9,16859.9,16774.4,82410.790,2022-12-24
1172,16829.0,16824.4,16850.0,16700.0,144075.843,2022-12-25
1173,16824.5,16912.9,16936.8,16781.1,148128.699,2022-12-26
1174,16912.8,16698.2,16968.0,16580.0,262828.564,2022-12-27
1175,16698.2,16539.0,16778.3,16455.6,344649.858,2022-12-28
1176,16538.9,16630.3,16659.0,16485.1,208591.531,2022-12-29
1177,16630.3,16601.2,16666.6,16320.0,295630.490,2022-12-30
1178,16601.2,16537.6,16640.0,16461.8,134462.156,2022-12-31
1179,16537.5,16610.3,16618.8,16488.0,105502.965,2023-01-01
1180,16610.4,16666.0,16799.0,16541.2,215161.176,2023-01-02
1181,16665.9,16667.2,16774.0,16600.3,203070.205,2023-01-03
1182,16667.3,16842.1,16984.6,16645.7,349747.838,2023-01-04
1183,16842.2,16823.8,16872.8,16740.4,176369.347,2023-01-05
1184,16823.8,16943.8,17030.0,16664.8,316973.629,2023-01-06
1185,16943.9,16936.5,16973.6,16900.1,77973.105,2023-01-07
1186,16936.5,17124.7,17181.1,16905.0,157717.318,2023-01-08
1187,17124.6,17169.7,17387.8,17098.2,400277.809,2023-01-09
1188,17169.6,17428.8,17485.4,17140.4,297320.371,2023-01-10
1189,17428.8,17935.7,18013.2,17306.4,386277.106,2023-01-11
1190,17935.6,18838.0,19120.0,17902.4,1040334.760,2023-01-12
1191,18838.1,19924.2,19997.8,18711.0,806807.832,2023-01-13
1192,19924.3,20962.8,21544.0,19882.6,1010666.683,2023-01-14
1193,20962.8,20882.7,21073.8,20556.0,428486.559,2023-01-15
1194,20882.7,21188.3,21498.0,20606.6,666148.201,2023-01-16
1195,21188.2,21130.9,21640.0,20827.8,547390.593,2023-01-17
1196,21130.8,20680.0,21672.0,20386.0,813785.517,2023-01-18
1197,20680.1,21068.3,21183.9,20659.9,374733.617,2023-01-19
1198,21068.3,22661.1,22750.0,20856.4,723645.200,2023-01-20
1199,22661.0,22781.9,23390.0,22422.0,764681.100,2023-01-21
1200,22781.8,22704.6,23080.2,22287.0,482529.811,2023-01-22
1201,22704.7,22913.1,23193.1,22500.0,525802.840,2023-01-23
1202,22913.3,22627.4,23158.7,22450.0,505615.816,2023-01-24
1203,22627.5,23060.6,23837.4,22310.5,692786.607,2023-01-25
1204,23060.6,23001.9,23278.7,22843.8,427760.786,2023-01-26
1205,23001.9,23068.0,23500.0,22516.6,509920.307,2023-01-27
1206,23068.1,23015.9,23185.0,22870.8,186400.943,2023-01-28
1207,23016.0,23740.3,23962.7,22961.5,562028.231,2023-01-29
1208,23740.2,22819.9,23804.6,22484.2,572537.407,2023-01-30
1209,22819.9,23119.4,23330.0,22715.3,403726.966,2023-01-31
1210,23119.5,23730.0,23852.4,22747.0,571429.711,2023-02-01
1211,23730.1,23493.1,24281.4,23365.0,615740.338,2023-02-02
