,close,high,low,volume,date,ticker
2021,137.02,138.7,136.6,9706900,2001-01-31,SPY
2022,137.93,137.95,136.25,8239100,2001-02-01,SPY
2023,134.8,137.99,134.75,8276600,2001-02-02,SPY
2024,135.79,135.94,134.75,4352900,2001-02-05,SPY
2025,135.39,136.7,135.22,7106700,2001-02-06,SPY
2026,134.69,135.4,133.68,5748700,2001-02-07,SPY
2027,133.12,135.4,133.1,5943300,2001-02-08,SPY
2028,131.84,133.35,131.26,9913000,2001-02-09,SPY
2029,133.35,133.5,131.7,5804400,2001-02-12,SPY
2030,132.26,134.17,132.0,6587600,2001-02-13,SPY
2031,132.06,132.65,130.66,8400100,2001-02-14,SPY
2032,133.34,133.52,131.99,5929800,2001-02-15,SPY
2033,130.4,131.29,129.3,6434900,2001-02-16,SPY
2034,128.39,131.14,128.1,5760000,2001-02-20,SPY
2035,125.62,128.84,125.5,10910800,2001-02-21,SPY
2036,125.81,126.54,123.02,21281600,2001-02-22,SPY
2037,124.96,125.54,121.8,20173000,2001-02-23,SPY
2038,127.62,127.62,124.5,11503700,2001-02-26,SPY
2039,126.44,127.84,125.51,11415000,2001-02-27,SPY
2040,123.95,126.84,123.27,14825800,2001-02-28,SPY
2041,124.6,124.6,121.75,14672000,2001-03-01,SPY
2042,123.61,125.65,122.3,12564300,2001-03-02,SPY
2043,124.74,124.78,123.81,5293200,2001-03-05,SPY
2044,126.08,127.75,125.49,6917000,2001-03-06,SPY
2045,126.98,127.04,125.76,6371700,2001-03-07,SPY
2046,127.12,127.24,126.14,6055000,2001-03-08,SPY
2047,123.36,126.1,123.11,10020300,2001-03-09,SPY
2048,118.08,122.5,117.75,13972900,2001-03-12,SPY
2049,120.02,120.44,117.53,12888000,2001-03-13,SPY
2050,117.65,119.29,115.75,19883400,2001-03-14,SPY
2051,117.68,118.86,117.36,10370300,2001-03-15,SPY
2052,115.01,117.4,114.81,58514600,2001-03-16,SPY
2053,117.35,117.69,114.82,10067800,2001-03-19,SPY
2054,114.2,118.46,114.11,15083900,2001-03-20,SPY
2055,112.26,115.26,111.9,19004600,2001-03-21,SPY
2056,111.12,112.6,108.04,28624800,2001-03-22,SPY
2057,114.48,114.66,111.5,12861700,2001-03-23,SPY
